Names	Number	ACC	BLCA	BRCA	CESC	CHOL	COAD	DLBC	ESCA	GBM	HNSC	KICH	KIRC	KIRP	LAML	LGG	LIHC	LUAD	LUSC	MESO	OV	PAAD	PCPG	PRAD	READ	SARC	SKCM	STAD	TGCT	THCA	THYM	UCEC	UCS	UVM
ABCA7|10347	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.05615977735844	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCA8|10351	22	NA	1.49639666956597	1.32980497051947	2.24099028362821	2.11881130803351	3.0325197542169	NA	3.43472515541483	NA	3.10645811073281	NA	NA	1.00243149694728	1.52772985597111	NA	2.01652205361027	2.79878570277601	2.2580093094124	1.11684043980412	NA	1.7647338150111	1.6641234097934	NA	1.88836055120368	-1.07599547354987	2.20104780747429	3.90995656512868	1.27839484807874	1.81935204539116	NA	1.0353274739035	NA	NA
ABCA9|10350	17	NA	NA	1.08398706225684	2.20841406746443	1.94982350189814	2.15805282940639	NA	3.01388705697337	NA	2.21660401507263	-1.45550849444508	NA	NA	2.53466820609571	NA	1.29414463415158	1.43619935449071	1.26527522788371	NA	NA	1.51566074480235	NA	NA	2.34504886382727	-1.87605927501557	NA	3.92396664632303	NA	1.10497247193727	1.08687058697313	NA	NA	NA
ABCB1|5243	13	NA	NA	NA	1.25867016478064	NA	NA	NA	1.82401509968667	NA	1.44944120334081	NA	1.40607639811237	1.16229809871997	NA	NA	1.22903461896084	NA	1.30384615712026	NA	NA	NA	NA	NA	NA	1.5341552431653	NA	1.50106335485629	1.25048898001986	1.1028557653612	NA	1.29539060769554	NA	1.43994576764419
ABCB10|23456	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0931311852965	NA	NA	NA	NA	NA	NA	NA	NA
ABCB11|8647	2	NA	NA	NA	NA	4.76776045168896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.58070853725945	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCB4|5244	10	NA	NA	NA	1.09111903252835	3.35381958485606	NA	NA	1.57250817836788	NA	1.72522144620529	-1.42269813394394	NA	NA	NA	NA	2.22923580914192	NA	1.44326972430397	NA	NA	NA	NA	NA	NA	1.47989450739668	NA	1.52444220843955	NA	NA	NA	NA	1.31838717910709	NA
ABCB5|340273	9	NA	NA	NA	NA	NA	3.68375375078659	NA	1.26371629327129	NA	NA	NA	NA	-1.58783496261931	NA	NA	-3.22264905460468	1.21012240195997	NA	NA	NA	1.2918923953177	NA	NA	1.55348948779847	2.16931826883402	NA	2.78390656134432	NA	NA	NA	NA	NA	NA
ABCB6|10058	1	-1.07585852921178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCC11|85320	4	NA	NA	2.61925959552467	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.41564718848531	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.76822812524653	NA	1.25633817167941	NA	NA
