gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
NPM2	576057	222	41	93040	15280	0	0	0	0	50	0	2137120	1	1
NPM3	817474	335	37	74400	15200	0	0	0	0	50	0	2359440	1	1
NPNT	262174	361	7	252560	50000	0	0	0	0	50	0	2044080	1	1
NPPA	519155	207	43	60960	13600	0	0	0	0	50	1	2144880	1	1
NPPB	519155	207	43	53120	13280	0	0	0	0	50	1	2144880	1	1
NPPC	893534	439	33	47680	13920	0	0	0	0	50	1	2522960	1	1
NPR1	1656449	183	40	426720	96480	0	0	1	0	50	2	2551520	1	1
NPR2	885056	190	51	433120	94400	0	0	0	0	50	1	2289760	1	1
NPR3	477035	487	-15	217760	46400	0	0	0	0	50	1	2538800	1	1
NPRL2	843769	206	51	160720	28560	0	0	0	0	50	1	2382800	1	1
NPRL3	1005761	238	36	232800	48960	0	0	0	0	50	1	1939440	1	1
NPS	470657	703	-30	37760	7360	0	0	0	0	50	0	2043120	1	1
NPSR1	106021	949	0	168240	33200	0	0	0	0	50	1	2701760	1	1
NPTN	310307	416	20	163360	33280	0	0	0	0	50	0	2679040	1	1
NPTX1	755391	222	23	171920	38480	0	0	0	0	50	1	2580080	1	1
NPTX2	545145	560	20	169600	40320	0	0	0	0	50	4	2161520	1	1
NPTXR	1317460	358	54	192160	50880	0	0	0	0	50	1	2213520	1	1
NPVF	254553	444	32	83520	12640	0	0	0	0	50	2	2847280	1	1
NPW	1747301	183	46	59680	20640	0	0	0	0	50	3	2248640	1	1
NPY	148162	478	6	39360	9280	0	0	0	0	50	1	2022240	1	1
NPY1R	74427	1197	-18	157120	28320	0	0	0	0	50	0	2425600	1	1
NPY2R	49938	944	-5	152400	31600	0	0	0	0	50	2	2202800	1	1
NPY5R	74427	1197	-18	181040	33680	0	0	0	0	50	0	2425600	1	1
NQO1	1410481	NaN	39	114960	20240	0	0	0	0	50	1	3435680	1	1
NQO2	430294	268	42	97200	18000	0	0	0	0	50	2	2157600	1	1
NR0B1	73561	NaN	28	184720	42320	0	0	0	0	50	2	2943520	1	1
NR0B2	1025094	188	34	99760	24720	0	0	0	0	50	2	2148960	1	1
NR1D1	1573630	202	28	272560	53520	0	0	0	0	50	3	2491520	1	1
NR1D2	395355	211	2	244240	38640	0	0	0	0	50	2	2336480	1	1
NR1H2	1072052	528	26	186240	40160	0	0	0	0	50	2	2154240	1	1
NR1H3	1274054	198	38	183600	37200	0	0	0	0	50	0	2148240	1	1
NR1H4	191698	787	-6	200640	32160	0	0	0	0	50	0	2198000	1	1
NR1I2	422482	474	24	196320	36640	0	0	0	0	50	0	3222720	1	1
NR1I3	731911	229	39	164320	31360	0	0	0	0	50	0	2708800	1	1
NR2C1	365826	544	27	264160	45920	0	0	0	0	50	1	2376800	1	1
NR2C2	483299	400	43	253600	51040	0	0	0	0	50	0	2154720	1	1
NR2C2AP	940952	232	17	58560	11520	0	0	0	0	50	2	2395360	1	1
NR2E1	334933	436	35	157600	32800	0	0	0	0	50	1	2173440	1	1
NR2E3	1039394	440	25	165200	37040	0	0	0	0	50	3	3283680	1	1
NR2F1	263987	505	-1	168160	36640	0	0	0	0	50	0	2132560	1	1
NR2F2	94682	983	-22	172640	36000	0	0	0	0	50	2	3240800	1	1
NR2F6	865138	212	38	156000	40320	0	0	0	0	50	2	2213360	1	1
NR3C2	73880	914	-15	398240	79680	0	0	0	0	50	1	2473760	1	1
NR4A1	468067	234	41	234240	57120	0	0	0	0	50	0	1803920	1	1
NR4A2	117105	440	4	243600	47760	0	0	0	0	50	0	1712880	1	1
NR4A3	280636	538	8	266480	56720	0	0	0	0	50	2	2570800	1	1
NR5A1	492584	353	24	186560	39040	0	0	0	0	50	2	1951040	1	1
NR5A2	120174	616	-8	224160	40480	0	0	0	0	50	0	2179680	1	1
NR6A1	892645	345	29	201120	35520	0	0	0	0	50	0	2398160	1	1
NRAP	195180	587	1	736800	120640	0	0	0	0	50	0	2265520	1	1
NRARP	1724821	399	43	45360	9840	0	0	0	0	50	1	1940320	1	1
NRAS	600650	472	11	80400	14000	0	0	0	0	50	0	2328560	1	1
NRBF2	219747	715	8	120080	20080	0	0	0	0	50	1	2409680	1	1
NRBP1	1244404	179	39	225840	42320	0	0	0	0	50	3	2521040	1	1
NRBP2	2376841	247	22	210960	40880	0	0	0	0	50	3	3495040	1	1
NRD1	707583	382	16	519600	86800	0	0	0	0	50	1	2286800	1	1
NRF1	459189	253	32	201360	47440	0	0	0	0	50	0	2022800	1	1
NRG1	28018	952	-32	483120	105680	0	0	0	0	50	1	2267200	1	1
NRG2	749094	290	57	348000	80800	0	0	0	0	50	1	1818640	1	1
NRG3	5107	1174	-53	308240	70480	0	0	0	0	50	0	2596640	1	1
NRG4	467195	406	28	50720	8160	0	0	0	0	50	2	2433760	1	1
NRGN	168652	622	14	31440	7760	0	0	0	0	4	0	152640	1	1
NRIP1	103852	526	8	472960	83360	0	0	0	0	3	0	247440	1	1
NRIP2	495532	443	28	114480	24400	0	0	0	0	50	2	2444880	1	1
NRIP3	595760	357	33	100000	20000	0	0	0	0	50	1	2947920	1	1
NRK	18768	NaN	2	655600	122160	0	0	0	0	33	3	1423440	1	1
NRL	992350	355	19	90240	25280	0	0	0	0	50	1	2479600	1	1
NRM	2115149	171	41	100160	28320	0	0	0	0	50	0	2729440	1	1
NRN1	49114	693	17	58640	11280	0	0	0	0	50	1	2191120	1	1
NRN1L	879834	158	50	64320	16960	0	0	0	0	50	1	2741920	1	1
NRP1	360090	488	-9	384720	70800	0	0	0	0	50	1	2950320	1	1
NRP2	278279	567	5	422720	84160	0	0	0	0	50	2	2474640	1	1
NRSN1	349698	825	-21	78640	16720	0	0	0	0	50	1	1873120	1	1
NRSN2	879317	185	41	80800	18880	0	0	0	0	50	1	2425040	1	1
NRTN	1217326	294	35	72400	23280	0	0	0	0	50	1	2131840	1	1
