gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
IQSEC3	241073	592	27	475760	113040	0	1	0	0	50	1	2497120	6.835510e-01	1
SGK223	132314	199	43	547120	128880	0	1	0	0	50	0	2215520	6.853289e-01	1
PPFIA1	514596	530	44	503280	92080	0	1	0	0	50	1	2237840	6.853865e-01	1
NEDD4	259242	271	-1	594000	104720	0	1	0	0	50	1	2315200	6.858863e-01	1
TNS3	192490	488	16	583440	127280	0	2	2	0	50	6	1986160	6.872096e-01	1
EVC	101111	641	18	409280	80160	0	1	0	0	50	2	2136560	6.879501e-01	1
ASPM	221779	614	-25	1438880	247840	0	1	1	0	50	1	3079520	6.888987e-01	1
UNC13B	1081701	432	37	668800	119680	0	1	0	0	50	0	2414000	6.892384e-01	1
GRIN2B	153586	825	-10	604560	115920	0	1	0	0	50	1	2561840	6.914498e-01	1
ATP2A3	617494	268	33	426400	100160	0	1	0	0	50	1	2191040	6.929000e-01	1
PLD2	1465720	208	27	382160	81360	0	1	0	0	50	3	2204160	6.930814e-01	1
ANKRD50	47412	616	-24	575680	112640	0	1	0	0	50	1	2218080	6.947802e-01	1
C2orf71	471053	404	28	509280	110080	0	1	0	0	38	1	1957520	6.948539e-01	1
CUX2	493539	608	39	592320	134880	0	1	0	0	50	0	2364960	6.961863e-01	1
MINK1	1440940	208	29	514720	107680	0	1	0	0	50	1	2446400	6.984690e-01	1
DSG1	255599	412	15	425520	87440	0	1	0	0	50	5	2405120	6.991703e-01	1
TECTA	243065	769	17	884640	164000	0	1	1	0	50	2	2309520	7.046498e-01	1
AP3D1	1712606	216	30	507040	90720	0	1	0	0	50	2	2711440	7.048626e-01	1
FRMPD1	498002	434	27	635440	132080	0	1	0	0	50	1	2547840	7.058105e-01	1
LATS2	446900	192	41	434400	92160	0	1	0	0	50	1	1995120	7.061832e-01	1
ANKRD27	369667	455	-38	441200	81200	0	1	0	0	50	2	1939440	7.066277e-01	1
MTOR	577167	416	32	1054720	205760	0	2	0	0	50	0	2031840	7.077841e-01	1
KDM6A	59340	NaN	36	583360	107520	0	1	0	0	50	2	2364160	7.082557e-01	1
NRCAM	441225	682	1	549520	100560	0	1	0	0	50	1	2057760	7.087981e-01	1
TRERF1	746644	342	44	484720	100080	0	1	0	0	28	0	1704880	7.096543e-01	1
PLCE1	299843	633	2	995760	175280	0	1	0	0	48	1	2041120	7.135937e-01	1
SHROOM1	718028	356	58	322800	91120	0	1	0	0	50	2	1993920	7.150872e-01	1
NCOA2	265128	742	35	604640	112000	0	1	0	0	50	2	2407120	7.202103e-01	1
CASKIN1	2179404	224	39	551680	148160	0	1	0	0	50	0	2328080	7.221869e-01	1
SEMA5A	45422	891	-2	444400	85040	0	1	0	0	50	3	2356720	7.233303e-01	1
SHROOM2	157955	NaN	0	635840	146400	0	1	0	0	50	1	2785600	7.257072e-01	1
CUL7	1239021	301	42	717120	156000	0	1	0	0	50	2	3446880	7.284588e-01	1
ATAD2B	233701	431	27	610880	106720	0	1	0	0	50	0	1880960	7.300658e-01	1
NCAN	940952	232	17	523760	119760	0	1	0	0	50	2	2395360	7.319938e-01	1
ARHGEF17	601834	218	54	801520	202320	0	2	1	0	50	5	2503520	7.333683e-01	1
COL27A1	224550	425	3	731200	200320	0	1	0	0	32	0	1440160	7.353933e-01	1
CAND1	237289	810	-13	505360	94480	0	1	0	0	38	1	1618720	7.360016e-01	1
ZNF518B	218121	1074	15	435440	80560	0	1	0	0	50	4	1942800	7.369355e-01	1
PRDM4	119393	805	22	328480	62880	0	1	0	0	26	1	1084000	7.370127e-01	1
BMP1	587455	196	50	421680	78320	0	1	0	0	50	3	2288240	7.375603e-01	1
UMODL1	220293	430	68	579200	128800	0	1	0	0	50	1	2226640	7.385597e-01	1
XAB2	611341	384	33	353520	69520	0	1	0	0	28	0	1368000	7.408024e-01	1
PTPRU	365922	395	24	591680	125600	0	1	0	0	48	0	2143680	7.441529e-01	1
CAMSAP1	721697	446	46	651760	127920	0	1	0	0	50	1	2664160	7.463116e-01	1
NUP210	359039	285	48	756000	175520	0	1	0	0	50	0	2481120	7.492376e-01	1
NWD1	947233	293	35	568480	127520	0	1	0	0	50	3	2896880	7.535229e-01	1
JPH2	526607	344	21	270880	68960	0	1	0	0	50	5	2576880	7.541363e-01	1
RERE	916698	436	27	625200	140400	0	1	0	0	50	1	2528320	7.554658e-01	1
SNAP91	181148	734	-28	364240	89520	0	1	0	0	15	0	1055200	7.573626e-01	1
PRUNE2	178730	851	-15	1265520	228720	0	1	0	0	50	1	2273200	7.612100e-01	1
FBN1	399245	304	-1	1223520	196000	0	2	0	0	50	2	2727520	7.614692e-01	1
SIGLEC1	942842	353	32	661280	172320	0	1	0	0	50	1	2481360	7.620998e-01	1
DOPEY1	151511	697	7	1022960	184400	0	1	0	0	50	1	3029040	7.661043e-01	1
SIPA1L3	688670	605	-17	704720	162800	0	1	0	0	50	0	2380080	7.687341e-01	1
FHOD3	336896	728	61	590080	116800	0	1	0	0	40	0	1734240	7.691170e-01	1
PRDM2	68342	892	25	705200	135920	0	1	0	0	50	2	2499920	7.752430e-01	1
NLRP9	1024341	362	-13	412400	69200	0	1	0	0	33	1	1212240	7.753596e-01	1
MYH6	1220624	456	31	816160	139040	0	1	0	0	50	1	2864080	7.772107e-01	1
ABCA12	526764	857	9	1085920	198080	0	1	0	0	50	3	2355920	7.773252e-01	1
ATG2A	3218288	209	61	770880	185440	0	1	0	0	50	1	2907280	7.774829e-01	1
PLXNA4	314659	746	9	814960	164400	0	1	0	0	50	0	2390480	7.775842e-01	1
EP300	1167197	154	42	983440	194960	0	1	0	0	50	0	2677280	7.787573e-01	1
NLRC5	804832	154	53	766480	159760	0	1	0	0	50	1	2366160	7.823112e-01	1
MED12	759088	NaN	27	896800	176800	0	1	0	0	50	1	2944320	7.829942e-01	1
FLNC	830283	310	35	1089280	249280	0	1	0	0	33	0	1884480	7.830595e-01	1
NSD1	948717	227	42	1097840	210800	0	1	0	0	50	0	2896560	7.831288e-01	1
SLIT2	44181	1366	3	648320	109120	0	1	0	0	26	1	1164240	7.862289e-01	1
DLGAP3	603922	534	28	382880	93280	0	1	0	0	50	5	2770240	7.873477e-01	1
PSME4	238848	489	9	776480	138400	0	1	0	0	50	1	2231600	7.906754e-01	1
PAPPA	69253	553	-19	664320	130560	0	1	0	0	50	1	2207040	7.933694e-01	1
NCKAP5L	1560163	231	56	508400	139440	0	1	1	0	39	2	1926720	7.940802e-01	1
ASXL3	7579	1014	-10	898720	188160	0	1	0	0	50	1	2514480	7.957652e-01	1
SORL1	199734	650	21	929600	164000	0	1	0	0	36	0	1470640	7.969087e-01	1
SMARCA4	1984564	190	40	690080	140160	0	1	0	0	50	1	2603440	7.986653e-01	1
KIAA1462	184440	520	12	541760	112960	0	1	0	0	32	1	1761280	7.990713e-01	1
CEP192	326004	417	52	1048880	197520	0	1	0	0	30	0	1524000	7.999633e-01	1
WDR90	1161748	194	36	695680	169760	0	1	0	0	20	0	1176800	8.029123e-01	1
DOCK3	395621	756	25	856240	152240	0	1	0	0	50	1	2587280	8.035764e-01	1
VWF	1716132	481	15	1160480	222560	0	1	1	0	50	2	2412080	8.043004e-01	1
ROS1	168682	310	-18	976000	177920	0	1	0	0	50	1	2563920	8.050123e-01	1
SLC27A6	39183	962	-10	256080	47280	0	1	1	0	13	1	720560	8.051940e-01	1
LMTK2	457962	375	19	611840	118400	0	1	0	0	50	2	2094240	8.082735e-01	1
CACNA1A	1604988	497	12	1032080	218960	0	1	0	0	40	2	2191360	8.106506e-01	1
ANK1	574508	533	36	829520	177520	0	1	0	0	50	1	2763840	8.109900e-01	1
COL5A1	229207	421	31	735760	188560	0	1	1	0	50	2	3027440	8.111696e-01	1
OBSL1	548994	487	35	753600	193440	0	1	0	0	50	1	2911520	8.141352e-01	1
REXO1	2226995	214	26	478480	118000	0	1	0	0	50	4	2870480	8.143075e-01	1
SBF1	1028405	207	46	761520	173200	0	1	0	0	44	0	2249520	8.147744e-01	1
ATF7IP	339265	882	12	510160	108880	0	1	0	0	30	0	1189760	8.165112e-01	1
ZAN	1483965	336	46	1148400	241840	0	1	0	0	50	1	3342720	8.195379e-01	1
CPAMD8	947295	386	29	775440	178960	0	1	0	0	50	0	2165920	8.214923e-01	1
ZNF462	259213	625	-7	1027200	183840	0	1	0	0	50	1	2762320	8.273371e-01	1
PRPF8	1361271	198	27	968560	179600	0	1	0	0	50	0	2412560	8.281830e-01	1
AGRN	1971475	239	15	803120	201680	0	1	0	0	50	1	3040800	8.303704e-01	1
RELN	291011	954	7	1441040	261200	0	1	0	0	50	1	2270560	8.313342e-01	1
MYO7B	528013	229	36	873280	172320	0	1	0	0	50	0	2218000	8.320046e-01	1
SPTA1	177547	940	1	1033680	160560	0	2	0	0	21	0	1396800	8.321282e-01	1
PTPRD	15780	1275	-26	792560	158480	0	1	1	0	50	2	2349520	8.341537e-01	1
LAMA2	67993	771	-6	1299600	240400	0	1	0	0	50	0	2934480	8.373196e-01	1
SPTBN1	714370	430	22	1019120	169840	0	1	0	0	50	0	2442320	8.386541e-01	1
AHCTF1	422581	405	4	938560	176640	0	1	0	0	47	0	2012560	8.390161e-01	1
DYNC2H1	134215	883	-19	1824000	304160	0	1	0	0	50	0	2370160	8.397237e-01	1
NBEAL2	537135	371	45	1090320	266000	0	1	1	0	50	2	2061520	8.405757e-01	1
DGKQ	675007	256	45	374880	92160	0	2	0	0	8	0	647600	8.406847e-01	1
NRXN1	8891	1372	-25	665360	133520	0	1	0	0	50	1	1866800	8.470103e-01	1
NIN	445811	257	34	927200	139040	0	1	0	0	50	1	2171280	8.499102e-01	1
AGAP2	1160849	344	39	483360	127040	0	1	0	0	50	3	2314400	8.543460e-01	1
F5	294416	415	11	916560	166800	0	1	1	0	44	2	2302400	8.564984e-01	1
PDZD2	440207	557	6	1121440	256480	0	1	0	0	50	0	2439360	8.605393e-01	1
ITPR1	290645	395	19	1160480	202240	0	1	0	0	50	0	2424960	8.624924e-01	1
DNAH17	999172	188	25	1845520	347920	0	2	2	0	50	2	2447280	8.651019e-01	1
TCEB3CL	120831	639	34	628720	158320	0	2	0	0	50	2	2285920	8.766905e-01	1
RP1L1	99570	456	15	934960	219440	0	1	0	0	50	1	2305440	8.783899e-01	1
CENPF	457503	186	-7	1323360	184000	0	1	0	0	50	0	2290400	8.821335e-01	1
FLNA	2356905	NaN	27	1063200	237280	0	1	0	0	50	3	3497920	8.824395e-01	1
EPPK1	2376841	247	22	925520	236880	0	1	0	0	50	3	3495040	8.826674e-01	1
PREX2	14825	990	1	715280	118000	0	1	1	0	50	4	2079200	8.843498e-01	1
SHANK1	632386	593	31	820640	231520	0	1	0	0	50	1	2326000	8.897310e-01	1
GLI2	183735	374	12	620560	149200	0	1	0	0	27	0	1373200	8.929577e-01	1
SVEP1	211688	369	1	1469920	274720	0	1	0	0	50	1	2947840	8.994036e-01	1
DMXL2	380843	422	11	1253520	231600	0	1	0	0	50	3	2937040	9.005428e-01	1
DIP2A	895243	477	47	641200	154160	0	1	0	0	22	0	1292640	9.009595e-01	1
SULF2	266328	588	41	367280	63600	0	1	0	0	11	0	394240	9.019071e-01	1
SETD2	593886	365	46	1051840	192480	0	1	0	0	50	2	2254560	9.025845e-01	1
KIAA1549	482191	289	18	760320	188640	0	1	0	0	33	0	1517520	9.026290e-01	1
RECQL5	1912060	198	37	415280	86320	0	1	0	0	6	0	783440	9.030869e-01	1
USP34	841742	471	34	1512720	240720	0	1	0	0	49	0	2497680	9.035723e-01	1
MUC2	1467711	466	43	1126720	255680	0	1	1	0	50	1	2699840	9.051159e-01	1
RYR2	86856	1024	-24	2090000	361200	0	2	2	0	50	3	2744480	9.056273e-01	1
COL14A1	262056	839	-5	737440	155200	0	3	0	0	12	1	727600	9.115910e-01	1
ZC3H13	576966	679	49	643520	117920	0	1	0	0	50	1	1428400	9.134751e-01	1
CSPG4	578030	231	39	884560	236560	0	1	0	0	30	0	1700640	9.136347e-01	1
KIAA1217	136799	839	-15	786320	159600	0	1	0	0	29	1	1571200	9.189239e-01	1
CELSR1	467110	260	11	1190880	278080	0	1	0	0	41	0	2447840	9.223742e-01	1
LRRC8A	1644028	201	14	323520	67040	0	1	1	0	10	2	834800	9.304154e-01	1
GPR112	380446	NaN	28	1201760	291840	0	1	0	0	35	1	1933360	9.335991e-01	1
COL12A1	359824	486	-8	1245920	266400	0	1	0	0	38	1	2075840	9.379255e-01	1
CCDC126	389945	361	23	58000	10320	0	1	1	0	2	1	89920	9.419014e-01	1
RBM12	1423559	169	53	362240	86240	0	1	0	0	6	0	273680	9.474118e-01	1
LAMA3	317706	216	60	1406640	269360	0	1	0	0	50	1	2369760	9.490314e-01	1
DYNC1H1	1456679	196	38	1918800	361040	0	1	0	0	50	2	3579760	9.535332e-01	1
APC	247811	399	28	1153520	221200	0	2	0	0	11	0	564880	9.559744e-01	1
TLN2	315754	568	15	1035680	220160	0	1	0	0	30	1	1726800	9.564363e-01	1
IGSF10	36173	606	6	1048480	221920	0	1	0	0	16	0	1240480	9.624353e-01	1
SRRM2	1717244	210	42	1023360	307040	0	1	0	0	23	0	1560640	9.628175e-01	1
MYO1C	1380844	220	18	444960	89120	0	1	0	0	12	0	646320	9.655525e-01	1
KIAA1109	325000	770	8	2066880	389440	0	1	0	0	22	0	1344960	9.659105e-01	1
DNAH7	105357	518	-3	1684640	288640	0	1	0	0	32	0	1866800	9.704952e-01	1
FREM1	254826	882	-17	905040	172080	0	1	0	0	21	0	1006000	9.711356e-01	1
PCDH19	128045	NaN	-15	455760	98960	0	1	0	0	12	0	586080	9.763895e-01	1
PLEC	2478735	247	25	1931840	448640	0	1	0	0	42	1	3295520	9.812702e-01	1
ABCA13	93300	878	-11	2082400	357920	0	1	0	0	11	0	1161520	9.820267e-01	1
FRAS1	244829	726	0	1674720	310240	0	1	0	0	29	0	1669760	9.824349e-01	1
HUWE1	888642	NaN	47	1784880	366960	0	2	0	0	18	0	1274800	9.839769e-01	1
AKAP9	674222	611	16	1671360	235840	0	1	0	0	35	0	1491040	9.842330e-01	1
TCHH	527465	349	35	822080	111680	0	1	0	0	25	0	1024320	9.843933e-01	1
TRIO	518529	557	29	1284160	239040	0	1	0	0	29	0	1383840	9.845414e-01	1
LRP1B	8988	1120	-11	1962400	303200	0	2	0	0	16	0	1242720	9.881916e-01	1
HERC2	219134	1011	-32	1966000	413680	0	1	0	0	25	0	1894400	9.896116e-01	1
DSCAM	25449	971	-72	814640	172080	0	1	0	0	18	0	781760	9.903390e-01	1
LRP2	420134	683	14	1962480	322320	0	1	1	0	50	2	2357680	9.904806e-01	1
NBPF10	NaN	NaN	NaN	1526240	232800	0	1	0	0	13	0	879840	9.909320e-01	1
DNAH8	229301	845	25	1894800	317840	0	1	0	0	28	0	1521920	9.921225e-01	1
FNDC1	805575	596	23	737840	185840	0	1	0	0	7	1	886960	9.923003e-01	1
FRY	221552	488	40	1251440	233680	0	1	0	0	21	1	1237440	9.923280e-01	1
STAB1	1114087	192	48	1056240	222000	0	1	0	0	17	0	973520	9.929202e-01	1
ASCC3	103404	825	2	933680	165520	0	2	0	0	18	2	910720	9.937601e-01	1
ZFC3H1	259684	393	-11	836960	140000	0	1	0	0	15	1	728000	9.943804e-01	1
PKHD1L1	134643	732	6	1744080	342320	0	3	0	0	10	0	762400	9.956453e-01	1
PCLO	42656	1075	-27	2050480	435920	0	1	0	0	18	0	1440320	9.961626e-01	1
SPEG	581956	335	35	1256400	339440	0	2	0	0	9	0	620960	9.962193e-01	1
PARD3	139914	776	0	565520	106800	0	1	0	0	5	0	435120	9.964235e-01	1
UTRN	183454	750	11	1461760	233600	0	2	0	0	13	0	751840	9.967590e-01	1
RYR1	1481209	353	17	2062320	423600	0	1	2	0	50	3	2606560	9.969778e-01	1
HIVEP3	190045	457	27	933680	224880	0	1	0	0	10	0	513200	9.996311e-01	1
FAT3	32222	1011	-33	1832720	370800	0	1	0	0	6	0	595600	9.997957e-01	1
MUC16	551668	537	-61	5507840	1509440	0	4	0	0	0	0	1509440	9.998060e-01	1
DIDO1	961230	336	40	897440	207360	0	1	0	0	6	0	496960	9.998171e-01	1
SPTBN4	915378	177	37	1031360	236960	0	1	0	0	7	0	626320	9.998340e-01	1
MUC17	1124475	272	43	1672640	492480	0	1	0	0	3	0	738560	9.998811e-01	1
TTN	172693	713	23	14814800	3016720	0	6	0	0	0	0	3016720	9.999018e-01	1
BRCA2	221300	462	44	1428240	229520	0	1	0	0	9	0	566240	9.999054e-01	1
CENPE	344088	569	3	1172640	155360	0	2	0	0	2	1	332640	9.999080e-01	1
CMYA5	263588	684	38	1646960	314640	0	1	0	0	6	1	518560	9.999383e-01	1
AKAP13	230754	454	17	1162000	222960	0	1	0	0	8	0	476880	9.999415e-01	1
OBSCN	698626	316	9	3303680	781600	0	2	0	0	9	0	1203280	9.999774e-01	1
KIF13B	333305	417	42	751680	150560	0	1	0	0	3	0	311200	9.999782e-01	1
DNAH11	118223	671	8	1892320	331520	0	1	0	0	6	0	687920	9.999819e-01	1
DNAH2	2107779	232	25	1826560	352960	0	1	0	0	10	0	687840	9.999901e-01	1
TMEM132A	798818	512	52	387280	111120	0	1	0	0	2	0	147440	9.999977e-01	1
FAT4	15815	726	-10	1983680	417920	0	1	0	0	3	0	607600	9.999979e-01	1
FAT1	351973	513	-13	1851920	367440	0	2	0	0	4	0	475120	9.999985e-01	1
MYH11	435762	283	29	842960	139600	0	1	0	0	4	0	258480	9.999994e-01	1
SYNE2	525935	430	41	2955280	441680	0	1	0	0	6	0	773680	9.999994e-01	1
LAMA1	241772	228	-37	1276720	239760	0	2	0	0	0	0	239760	9.999997e-01	1
CACNA1C	457513	765	26	972160	197440	0	1	0	0	3	0	277360	9.999998e-01	1
ITGAX	1122895	481	-2	478320	99280	0	1	0	0	3	0	130160	9.999999e-01	1
MACF1	767679	401	25	3107520	546880	0	1	0	0	4	0	721520	9.999999e-01	1
COL22A1	5667	846	-22	649680	172240	0	1	0	0	0	0	172240	1.000000e+00	1
ANK2	237324	911	14	1614480	325200	0	1	0	0	1	0	351040	1.000000e+00	1
MDN1	372470	603	34	2330240	420960	0	1	0	0	2	0	504080	1.000000e+00	1
FAT2	731456	563	27	1727600	374800	0	1	0	0	0	0	374800	1.000000e+00	1
SYNE1	79159	579	3	3732000	598560	0	2	0	0	3	0	668320	1.000000e+00	1
CACNA1B	286606	675	29	945920	206080	0	1	0	0	2	0	239920	1.000000e+00	1
HSPG2	481189	179	27	1753840	416080	0	1	0	0	0	0	416080	1.000000e+00	1
NEB	248944	641	13	3679600	545520	0	1	0	0	0	0	545520	1.000000e+00	1
A1BG	1621097	406	-25	195040	47840	0	0	0	0	50	1	2251600	1	1
A1CF	113129	613	19	260480	52800	0	0	0	0	50	2	2260160	1	1
A2BP1	2474	1138	-47	191920	38320	0	0	0	0	50	0	2438240	1	1
A2LD1	NaN	NaN	NaN	59360	15200	0	0	0	0	50	4	4642720	1	1
A2M	348389	364	17	608000	122400	0	0	0	0	50	1	2948320	1	1
A2ML1	300254	407	12	603840	117120	0	0	0	0	27	1	1504400	1	1
A4GALT	808038	168	72	137680	32880	0	0	0	0	50	0	2220480	1	1
A4GNT	190056	464	9	138960	26000	0	0	0	0	50	2	2469120	1	1
AAAS	1701810	166	58	219040	53440	0	0	0	0	50	1	2449120	1	1
AACS	894670	306	13	281840	52080	0	0	0	0	50	2	2258880	1	1
AADAC	200470	526	2	163600	31280	0	0	0	0	50	0	2634240	1	1
AADACL2	91028	611	-5	164880	30640	0	0	0	0	50	0	2480320	1	1
AADACL3	145424	454	23	144320	27040	0	0	0	0	50	2	2215680	1	1
AADAT	132912	831	-13	180960	31840	0	0	0	0	50	2	2744160	1	1
AAGAB	312039	320	45	133280	24160	0	0	0	0	50	1	2497200	1	1
AAK1	639466	309	35	392800	81760	0	0	0	0	50	0	2856720	1	1
AAMP	730654	197	33	179360	36160	0	0	0	0	50	0	2116720	1	1
AANAT	1202221	197	29	99600	23760	0	0	0	0	50	0	2465760	1	1
AARS	1335968	139	42	398240	79680	0	0	0	0	50	3	2608400	1	1
AARS2	1037256	312	54	389760	97280	0	0	0	0	50	1	2279520	1	1
AARSD1	1507064	201	26	251680	47520	0	0	0	0	50	3	2006160	1	1
AASDH	639545	594	5	452880	83600	0	0	0	0	50	0	2986080	1	1
AASDHPPT	86519	753	-16	129280	22720	0	0	0	0	50	3	2638240	1	1
AASS	57655	988	-13	386960	72720	0	0	0	0	50	1	2705440	1	1
AATF	668463	384	16	237840	38480	0	0	0	0	50	1	2310160	1	1
AATK	1737949	243	22	533280	135360	0	0	0	0	50	2	2826480	1	1
ABAT	402778	358	-10	212560	37520	0	0	0	0	50	1	2316880	1	1
ABCA1	195112	637	-18	938160	178960	0	0	0	0	50	0	2683120	1	1
ABCA10	137274	415	-43	653920	110240	0	0	0	0	50	1	2469120	1	1
ABCA2	1951939	202	40	997600	228640	0	0	0	0	30	0	1356880	1	1
ABCA3	2220466	233	46	690160	147440	0	0	1	0	50	1	2637200	1	1
ABCA4	512482	370	-2	937600	185280	0	0	0	0	19	0	846880	1	1
ABCA5	52620	314	-50	696160	116800	0	0	0	0	50	2	2503760	1	1
ABCA6	240031	493	-39	686000	114960	0	0	1	0	50	1	2229840	1	1
ABCA7	2387949	206	26	846400	212960	0	0	1	0	50	3	3887920	1	1
ABCA8	295848	637	-41	665200	117840	0	0	0	0	50	0	2402080	1	1
ABCA9	263023	602	-42	682160	122160	0	0	0	0	50	2	2460720	1	1
ABCB1	287293	822	0	527040	105120	0	0	0	0	50	1	2189120	1	1
ABCB10	255826	277	20	287280	75440	0	0	0	0	50	0	2228880	1	1
ABCB11	223582	560	1	544960	106880	0	0	0	0	50	0	2288000	1	1
ABCB4	225315	837	8	530320	105040	0	0	0	0	50	0	2161040	1	1
ABCB5	164218	648	4	525840	101200	0	0	0	0	50	0	2105040	1	1
ABCB6	773232	177	36	336320	79840	0	0	0	0	50	2	2274000	1	1
ABCB7	183021	NaN	-5	308320	63840	0	0	0	0	50	3	2188640	1	1
ABCB8	622098	373	41	281440	73600	0	0	0	0	50	1	2921200	1	1
ABCB9	1093113	196	47	304400	70800	0	0	0	0	50	2	2731520	1	1
ABCC1	409366	264	33	625600	128960	0	0	0	0	50	1	2058480	1	1
ABCC10	1270265	230	49	568400	146960	0	0	0	0	50	1	2765280	1	1
ABCC11	216539	578	-22	568000	114400	0	0	0	0	50	1	2814560	1	1
ABCC12	229669	628	-27	558320	112400	0	0	0	0	50	1	3015440	1	1
ABCC2	1035115	171	30	635440	126480	0	0	0	0	32	1	1154720	1	1
ABCC3	1585602	196	18	624160	141920	0	0	0	0	8	0	745440	1	1
ABCC4	200377	596	30	555920	107280	0	0	0	0	50	1	2302080	1	1
ABCC5	1425631	375	43	593840	121680	0	0	0	0	50	1	3183600	1	1
ABCC6	385823	188	23	605280	148800	0	0	0	0	9	1	648160	1	1
ABCC8	454503	598	14	644960	138720	0	0	0	0	50	0	2260160	1	1
ABCC9	529911	984	-17	661280	129120	0	0	0	0	50	2	1913040	1	1
ABCD1	1910154	NaN	37	290720	73120	0	0	0	0	50	2	2652560	1	1
ABCD2	70113	596	-16	303120	58320	0	0	0	0	50	1	2504880	1	1
ABCD3	459824	348	-8	284560	51280	0	0	0	0	50	1	2541600	1	1
ABCD4	652027	358	47	253120	49760	0	0	0	0	50	1	2277360	1	1
ABCE1	189309	1139	32	256240	43120	0	0	0	0	50	0	2318160	1	1
ABCF1	2080582	271	32	360320	61440	0	0	0	0	50	0	2535120	1	1
ABCF2	610106	290	32	267120	47600	0	0	0	0	50	0	2666400	1	1
ABCF3	1460188	257	49	294800	58800	0	0	0	0	50	1	2465040	1	1
ABCG1	289449	464	75	298560	63520	0	0	0	0	50	1	1914320	1	1
ABCG2	432576	209	-7	272960	51520	0	0	0	0	50	0	2391760	1	1
ABCG4	1258103	195	57	262800	56720	0	0	0	0	50	2	2774960	1	1
ABCG5	544941	480	35	263360	57280	0	0	0	0	50	1	2873440	1	1
ABCG8	501561	480	30	275680	55840	0	0	0	0	50	1	2791920	1	1
ABHD1	1214097	238	50	163840	36800	0	0	0	0	50	1	2613920	1	1
ABHD10	239044	250	10	123680	26560	0	0	0	0	50	2	2366640	1	1
ABHD11	1082063	214	54	159760	38800	0	0	0	0	50	1	2882960	1	1
ABHD12	608597	348	-3	174160	34640	0	0	0	0	50	1	2166320	1	1
ABHD12B	411016	431	41	124160	23040	0	0	0	0	50	3	2750320	1	1
ABHD13	71759	952	-32	136000	26880	0	0	0	0	50	0	2004320	1	1
ABHD14A	1045639	224	36	105280	27840	0	0	0	0	50	1	2090160	1	1
ABHD14B	1045639	224	36	82800	20400	0	0	0	0	50	1	2090160	1	1
ABHD15	802576	353	23	178640	47440	0	0	0	0	50	0	2400320	1	1
ABHD3	269726	244	57	169280	32640	0	0	0	0	50	2	2224720	1	1
ABHD4	975314	380	49	138800	30000	0	0	0	0	50	0	2782320	1	1
ABHD5	103561	437	33	143520	28320	0	0	0	0	50	0	2793840	1	1
ABHD6	611196	221	43	140480	26880	0	0	0	0	50	2	2378560	1	1
ABI1	342602	447	30	212400	47760	0	0	0	0	50	0	2626080	1	1
ABI2	415048	298	23	193680	40560	0	0	0	0	50	1	2207280	1	1
ABI3	816202	346	24	144240	36400	0	0	0	0	50	1	2787680	1	1
ABI3BP	459170	548	-1	448480	90080	0	0	0	0	50	0	2781680	1	1
ABL1	505506	211	29	468240	103440	0	0	0	0	43	0	2008320	1	1
ABL2	328468	301	6	493200	107120	0	0	0	0	50	2	2736800	1	1
ABLIM1	267957	257	13	347760	64560	0	0	0	0	50	3	2235200	1	1
ABLIM2	172573	230	36	281280	49920	0	0	0	0	50	1	2056320	1	1
ABLIM3	339889	423	17	291680	51360	0	0	0	0	50	2	2400640	1	1
ABO	1865433	416	45	143520	30880	0	0	0	0	50	2	2108400	1	1
ABP1	763140	604	19	298480	65360	0	0	0	0	50	3	2670800	1	1
ABR	1346718	270	22	378640	70480	0	0	1	0	50	2	2302160	1	1
ABRA	113560	708	18	154480	29840	0	0	0	0	50	1	2146080	1	1
ABT1	411992	498	24	107600	25040	0	0	0	0	50	0	2982320	1	1
ABTB1	679358	336	45	196720	40560	0	0	0	0	50	0	2375040	1	1
ABTB2	769733	368	32	343440	70000	0	0	0	0	50	2	2367120	1	1
ACAA1	302137	411	32	170320	40720	0	0	0	0	50	3	2332560	1	1
ACAA2	290591	530	35	162480	34320	0	0	0	0	50	1	2138880	1	1
ACACA	526151	346	13	994400	193920	0	0	0	0	7	0	499440	1	1
ACACB	528828	519	29	1008800	204480	0	0	0	0	50	0	2733760	1	1
ACAD10	599161	203	33	442880	94240	0	0	0	0	50	0	2288560	1	1
ACAD11	210777	598	19	326640	60400	0	0	0	0	50	1	1907760	1	1
ACAD8	270350	623	21	171040	35360	0	0	0	0	50	2	1997120	1	1
ACAD9	1117839	382	54	256800	52640	0	0	0	0	50	2	2388480	1	1
ACADL	190249	696	2	179120	34160	0	0	0	0	50	1	2246240	1	1
ACADM	152734	578	-13	178880	32640	0	0	0	0	50	1	2625440	1	1
ACADS	1741363	349	42	166560	37440	0	0	0	0	50	1	2216000	1	1
ACADSB	256010	673	17	180400	33840	0	0	0	0	50	2	2115200	1	1
ACADVL	1782958	316	21	267520	59840	0	0	0	0	50	0	1973600	1	1
ACAN	561599	560	-1	971760	254000	0	0	0	0	50	0	2889760	1	1
ACAP1	1911735	206	36	302720	66720	0	0	0	0	50	1	2622880	1	1
ACAP2	431673	561	43	335360	52640	0	0	0	0	50	0	2273360	1	1
ACAP3	1744013	273	28	345840	70000	0	0	0	0	50	0	2698880	1	1
