SampleID	bcr_patient_barcode	AR	ESR1	ESR2	PGR
TCGA-Q1-A73Q-01	TCGA-Q1-A73Q	1.4569	5.3471	3.5738	4.3971
TCGA-SC-A6LM-01	TCGA-SC-A6LM	4.0611	5.8669	3.0062	2.0864
TCGA-EE-A2GB-06	TCGA-EE-A2GB	1.5869	7.6213	7.5246	2.0022
TCGA-75-7027-01	TCGA-75-7027	4.1295	5.9153	2.8815	5.5013
TCGA-AA-3516-11	TCGA-AA-3516	3.3189	4.1326	4.0932	6.8851
TCGA-HU-A4GP-11	TCGA-HU-A4GP	7.7709	6.5491	2.7232	10.8137
TCGA-A2-A04P-01	TCGA-A2-A04P	1.0267	9.9263	4.0037	4.51
TCGA-BA-6870-01	TCGA-BA-6870	0.0	5.8042	3.6453	2.3844
TCGA-73-4666-01	TCGA-73-4666	2.5308	5.1583	3.7085	2.9618
TCGA-MV-A51V-01	TCGA-MV-A51V	3.861	6.9106	6.1268	4.643
TCGA-77-A5G6-01	TCGA-77-A5G6	4.3371	3.0477	4.5439	3.5733
TCGA-5P-A9K4-01	TCGA-5P-A9K4	6.9491	3.1044	4.0597	0.5607
TCGA-VD-A8KE-01	TCGA-VD-A8KE	2.2398	7.6962	3.783	0.6153
TCGA-56-A4BX-01	TCGA-56-A4BX	2.0408	3.07	3.9814	2.8539
TCGA-34-7107-01	TCGA-34-7107	4.2855	4.819	3.9691	5.1802
TCGA-BR-A4J9-01	TCGA-BR-A4J9	7.4232	6.1705	3.9723	9.6524
TCGA-BJ-A290-01	TCGA-BJ-A290	4.5244	12.5278	2.902	4.9134
TCGA-CV-6955-01	TCGA-CV-6955	6.014	9.336	2.1304	2.1304
TCGA-P3-A5Q6-01	TCGA-P3-A5Q6	0.9907	3.8895	3.6832	2.1555
TCGA-FG-A60K-01	TCGA-FG-A60K	5.1587	2.3879	4.0589	4.9766
TCGA-D7-A4Z0-01	TCGA-D7-A4Z0	5.0254	4.7568	5.4365	7.9596
TCGA-24-2293-01	TCGA-24-2293	7.2009	10.8133	4.0852	8.1102
TCGA-44-6146-11	TCGA-44-6146	6.5266	7.7557	3.7518	8.2452
TCGA-QK-A64Z-01	TCGA-QK-A64Z	1.1724	6.7322	3.4077	3.5688
