SampleID	bcr_patient_barcode	AR	ESR1	ESR2	PGR
TCGA-18-5595-01	TCGA-18-5595	1.94	5.64	3.87	3.85
TCGA-19-0957-02	TCGA-19-0957	5.93	4.02	3.82	2.69
TCGA-19-1389-02	TCGA-19-1389	4.62	5.69	5.44	4.06
TCGA-19-1390-01	TCGA-19-1390	5.3	3.68	3.48	2.99
TCGA-19-1787-01	TCGA-19-1787	7.25	3.13	5.13	3.06
TCGA-19-2619-01	TCGA-19-2619	6.11	3.88	4.14	1.17
TCGA-19-2620-01	TCGA-19-2620	6.76	3.88	5.37	5.27
TCGA-19-2624-01	TCGA-19-2624	3.6	3.14	4.8	2.04
TCGA-19-2625-01	TCGA-19-2625	4.28	2.84	3.84	0
TCGA-19-2629-01	TCGA-19-2629	6.69	3.84	1.41	3.16
TCGA-19-4065-01	TCGA-19-4065	5.92	5.68	6.75	2.26
TCGA-19-4065-02	TCGA-19-4065	4.82	4.48	3.87	4.4
TCGA-19-5960-01	TCGA-19-5960	7.17	3.28	3.59	3.53
TCGA-20-1682-01	TCGA-20-1682	3.17	8.9	2.97	3.54
TCGA-20-1683-01	TCGA-20-1683	5.73	10.36	4.36	3.9
TCGA-20-1684-01	TCGA-20-1684	8.21	11.19	4.07	9.23
TCGA-20-1685-01	TCGA-20-1685	8.58	11.38	5.41	4.89
TCGA-20-1687-01	TCGA-20-1687	6.81	11.23	2.08	6.15
TCGA-21-1070-01	TCGA-21-1070	2.17	6.14	4.28	4.21
TCGA-21-1071-01	TCGA-21-1071	2.66	8.6	4.26	5.93
TCGA-21-1072-01	TCGA-21-1072	1.48	4.34	4.15	5.26
TCGA-21-1075-01	TCGA-21-1075	1.28	3.2	3.75	1.8
TCGA-21-1076-01	TCGA-21-1076	3.09	6.09	4.9	5.78
TCGA-21-1077-01	TCGA-21-1077	3.43	5.01	4.57	5.16
TCGA-21-1078-01	TCGA-21-1078	7.77	2.17	3.66	2.85
TCGA-21-1079-01	TCGA-21-1079	2.14	7.75	3.55	4.99
TCGA-21-1080-01	TCGA-21-1080	7.06	4.19	4.48	3.57
TCGA-21-1081-01	TCGA-21-1081	3.14	4.99	4.01	4.33
TCGA-21-1082-01	TCGA-21-1082	2.34	5.59	6.1	5.39
TCGA-21-1083-01	TCGA-21-1083	2.98	6.05	5.02	4.64
TCGA-21-5782-01	TCGA-21-5782	3.86	5.92	5.33	6.74
TCGA-21-5783-01	TCGA-21-5783	5.59	6.49	4.31	5.19
TCGA-21-5784-01	TCGA-21-5784	3.23	8.89	4.19	5.27
TCGA-21-5786-01	TCGA-21-5786	2.33	4.26	4.04	3.01
TCGA-21-5787-01	TCGA-21-5787	2.33	7.89	3.18	3.93
TCGA-21-A5DI-01	TCGA-21-A5DI	0.76	5.57	4.74	2.8
TCGA-22-0940-01	TCGA-22-0940	3.21	9.17	3.02	4.06
TCGA-22-0944-01	TCGA-22-0944	1.95	3.81	3.11	3.35
TCGA-22-1000-01	TCGA-22-1000	4.96	7.41	4.59	6.81
TCGA-22-1002-01	TCGA-22-1002	3.77	5.84	3.96	6.29
TCGA-22-1005-01	TCGA-22-1005	3.97	7.18	5.08	6.14
TCGA-22-1011-01	TCGA-22-1011	3.45	6.56	5.35	4.94
TCGA-22-1012-01	TCGA-22-1012	1.69	4.54	3.31	3.9
TCGA-22-1016-01	TCGA-22-1016	3.99	6.19	4.61	6.32
TCGA-22-1017-01	TCGA-22-1017	1.55	8.82	2.39	3.86
TCGA-22-4591-01	TCGA-22-4591	5.6	5.47	3.47	3.73
TCGA-22-4593-01	TCGA-22-4593	4.73	4.17	3.76	5
TCGA-22-4593-11	TCGA-22-4593	4.97	6.97	3.26	7.31
TCGA-22-4594-01	TCGA-22-4594	4.65	5.84	4.34	4.54
TCGA-22-4595-01	TCGA-22-4595	4.04	4.53	4.59	5.56
TCGA-22-4596-01	TCGA-22-4596	3.97	9.76	3.66	6
TCGA-22-4599-01	TCGA-22-4599	0	4.44	3.89	3.89
TCGA-22-4601-01	TCGA-22-4601	2.48	4.09	4.58	4.21
TCGA-22-4604-01	TCGA-22-4604	3.97	5.97	4.59	5.03
TCGA-22-4605-01	TCGA-22-4605	4.21	6.38	5.62	5.23
TCGA-22-4607-01	TCGA-22-4607	2.24	4.8	3.14	4.18
TCGA-22-4609-01	TCGA-22-4609	4.61	5.65	4.02	5.65
TCGA-22-4609-11	TCGA-22-4609	6.12	7	3.8	7.56
TCGA-22-4613-01	TCGA-22-4613	1.87	5.66	4.59	4.08
